,Securities,Average price,Total trading volume,Continuous trading volume,Off-exchange trading volume,Auction trading volume
96,MRO.N,14.848544843972245,752727785,466734436,225056100,60937249
97,MS.N,50.63239253450916,466018466,252421558,164109862,49487046
98,MSFT.OQ,82.07628083836163,1303809476,465338885,650515693,187954898
99,MU.OQ,43.082970200921835,2367420853,1149842127,1114377522,103201204
100,MYL.OQ,38.16084950673244,382432999,146359301,207782753,28290945
101,NAVI.OQ,12.642452563079047,279727239,97472225,150463900,31791114
102,NBL.N,27.39447154881344,278406281,147299480,107553371,23553430
103,NEM.N,36.7866056418911,269775211,140902630,94160380,34712201
104,NFLX.OQ,192.58411003974086,424602266,205796425,197946020,20859821
105,NKE.N,57.37604078055049,591939252,340535984,183749324,67653944
106,NRG.N,27.214162276098637,322411164,180261380,99337017,42812767
107,NVDA.OQ,198.75903104166892,823196279,428029691,362219528,32947060
108,NWL.N,34.390291018006934,430007778,266141219,134115493,29751066
109,ORCL.N,49.044206444499096,892392264,488458317,304769918,99164029
110,PAYX.OQ,65.6160075977673,128051395,46617649,66200052,15233694
111,PEP.N,114.1462034493823,215488465,105628307,71919363,37940795
112,PFE.N,35.93748574454865,917842476,487560173,268102972,162179331
113,PG.N,89.95429621158226,425092724,219043370,135297941,70751413
114,PM.N,106.63892128149992,262834278,135402095,86699901,40732282
115,PPL.N,35.904199962049375,284080259,156308427,89737708,38034124
116,PYPL.OQ,72.35245561440183,554435760,224010129,278967535,51458096
117,QCOM.OQ,60.695553594028794,759037977,323595929,364990806,70451242
118,RF.N,16.00723425728806,712645282,384975284,269824811,57845187
119,RRC.N,18.00725975355418,396369563,216780760,155528203,24060600
120,SBUX.OQ,56.59778968048984,557127617,196850743,302495669,57781205
121,SCG.N,44.70574368297608,149801469,79317191,54582383,15901895
122,SCHW.N,47.042420688097145,372483190,200334299,133758679,38390212
123,SLB.N,64.82076936224529,521711264,289082362,173459475,59169427
124,SO.N,50.93175455402617,279948630,150776747,90848318,38323565
125,STX.OQ,38.19570731270598,287346012,108314641,157024271,22007100
126,SYF.N,34.232280539102334,379426308,212992898,129816450,36616960
127,SYMC.OQ,29.89077499454464,325997094,127123964,166259738,32613392
128,T.N,36.11222467286455,2239296545,1417784123,630039011,191473411
129,TGT.N,60.29552291755679,437398265,252244602,150031142,35122521
130,TJX.N,72.53832869549919,266825011,147905640,94653308,24266063
131,TSN.N,76.55910798948891,135709574,71251881,46809583,17648110
132,TWX.N,94.30520994710436,507691560,318586744,157070412,32034404
133,TXN.OQ,97.29791284383835,252279486,88760021,129007615,34511850
134,UAL.N,62.39811270983928,300981545,173720936,109324092,17936517
135,UNH.N,211.87372231000316,183115721,86126032,67149750,29839939
136,UNP.N,120.58491660843082,236446857,124406989,85125878,26913990
137,USB.N,53.84677327434018,335235505,166163097,120234117,48838291
138,UTX.N,120.67357849923137,173113694,90703917,53757909,28651868
139,V.N,110.43328793120469,448740409,242633516,137162061,68944832
140,VIAB.OQ,27.071900939775887,376268343,131361283,211693098,33213962
141,VZ.N,49.14307086235515,993248698,591425102,285869297,115954299
142,WBA.OQ,70.42297214120099,473789064,168483806,252012224,53293034
143,WDC.OQ,85.08870753483819,242709785,88614429,135193515,18901841
144,WFC.N,56.536256618975365,1140514495,642308979,376347481,121858035
145,WMT.N,91.87011914236821,575852085,329434844,183461035,62956206
146,WU.N,19.642716004339565,230020559,127174448,74454213,28391898
147,XLNX.OQ,70.94508144579369,116748654,34259772,68570090,13918792
148,XOM.N,82.72155049364073,576004114,306130270,163981123,105892721
149,XRAY.OQ,63.57956469387677,115984443,44030808,61042772,10910863
